,Count,word
1174,21,national poll
1175,21,thousands of
1176,21,out of the
1177,21,and all
1178,21,announced
1179,21,in his
1180,21,fox news
1181,21,i agree
1182,20,visit
1183,20,statements
1185,20,why does
1186,20,washingtonpost
1187,20,increase
1188,20,thank you new
1189,20,who has
1190,20,realdonaldtrump foxnews
1192,20,to draintheswamp
1193,20,foxandfriends at am
1194,20,over the
1195,20,tonight on
1196,20,macys
1197,20,policies
1198,20,mitt romney
1199,20,trump and
1200,20,win the
1201,20,lied
1203,20,tune in
1204,20,i know
1205,20,rallies
1206,20,america trump
1207,20,graham
1208,20,john kasich
1209,20,supertuesday
1210,20,like the
1211,20,to makeamericagreatagain
1212,20,god
1213,20,are so
1214,20,voting for
1215,20,back to
1217,20,caucus
1218,20,goofy elizabeth warren
1219,20,evangelicals
1220,20,white house
1221,20,including
1222,20,only candidate
1223,20,donlemon
1224,20,run for
1226,20,needs to
1227,20,elected
1228,20,have to
1229,20,one who
1230,20,i cant
1232,20,of your
1233,20,you for the
1235,20,losing
1236,20,drudge
1238,20,rubio is
1239,20,me i
1240,20,has done
1241,20,how can
1242,20,focus
1244,20,you i
1245,20,waste
1246,20,illegals
1249,20,government
1251,20,very nice
1252,20,made a
1253,20,lives
1254,20,the state
1255,20,in south
1256,20,for all of
1257,20,cnbc
1258,20,poll just
1259,20,stay
1260,20,silent
1261,20,the nation
1262,20,started
1263,20,can do
1264,20,weak on
1265,20,media is
1267,20,get it
1268,20,ac
1269,20,live in
1271,20,friday
1272,20,polling
1273,20,will makeamericagreatagain
1275,20,dopey
1276,20,radical islamic
1277,20,bought
1278,20,matter
1280,20,families
1282,19,president of
1283,19,of all
1285,19,canada
1286,19,because he
1287,19,prayers
1288,19,signed
1289,19,we the
1290,19,speech in
1291,19,greatly
1292,19,for the nice
1293,19,is that
1294,19,a great day
1295,19,funny
1296,19,nasty
1297,19,he should
1299,19,growth
1300,19,hillary and
1301,19,amazing people
1302,19,face the
1303,19,hall
1304,19,start
1305,19,a movement
1308,19,strength
1309,19,loser
1310,19,are all
1311,19,will bring
1312,19,russia
1313,19,senate
1314,19,in order
1315,19,chris wallace
1316,19,hillary clintons
1317,19,war
1318,19,vpdebate
1319,19,trump leads
1321,19,support of
1323,19,was not
1324,19,wallace
1325,19,hillary has
1327,19,believe that
1328,19,in south carolina
1329,19,able to
1331,19,comments
1332,19,a joke
1333,19,was so
1334,19,town
1335,19,to all of
1336,19,look at
1337,19,doesnt have
1338,19,very much
1339,19,father
1340,19,rnc
1341,19,america needs
1342,19,proud of you
1343,19,special interests
1345,19,thank you makeamericagreatagain
1346,19,i am in
1347,18,the only candidate
1348,18,my speech
1349,18,they will
1350,18,will be a
1351,18,in order to
1352,18,and great
1353,18,had a great
1354,18,register
1355,18,meetthepress
1356,18,meeting with
1357,18,frankluntz
1358,18,our great
1359,18,me to
1361,18,lead in
1362,18,pence
1363,18,core
1364,18,angry
1365,18,order to
1366,18,unfair
1367,18,majority
1368,18,chucktodd
1369,18,lot of
1370,18,saturday night
1372,18,israel
1373,18,proven
1374,18,in dc
1375,18,no more
1376,18,in the polls
1377,18,democrat
1379,18,we the people
1380,18,on morningjoe
1381,18,luck
1382,18,be doing
1383,18,a new
1384,18,piece
1386,18,much to
1387,18,dead
1388,18,clue
1389,18,golf
1390,18,great news
1392,18,i just
1393,18,presidency
1397,18,response
1398,18,terror
1399,18,keep up
1400,18,vp
1401,18,was just
1402,18,msm
1404,18,enjoy i
1405,18,hard to
1407,18,http rt
1408,18,danscavino realdonaldtrump
1409,18,great state
1410,18,ny
1411,18,night in
1412,18,am the
1413,18,and more
1414,18,was great
1415,17,has the
1416,17,city
1417,17,to it
1418,17,donald j
1419,17,dem
1420,17,again trump
1421,17,cnn poll
1422,17,standing
1423,17,going to be
1424,17,hispanics
1425,17,with trump
1427,17,getting ready
1428,17,children
1429,17,ted cruz is
1430,17,what you
1431,17,cnn is
1432,17,in our
1433,17,and we
1434,17,asktrump
1435,17,public
1436,17,this is a
1437,17,tired
1438,17,years of
1439,17,trump trump
1440,17,feel
1441,17,control
1442,17,attacks
1443,17,doing a
1444,17,absolutely
1445,17,spirit
1446,17,crowd in
1448,17,said no
1449,17,to vote for
1450,17,trump for president
1451,17,about my
1452,17,i love you
1453,17,for him
1455,17,hotel
1456,17,realdonaldtrump and
1457,17,telling
1458,17,she will
1459,17,breitbartnews
1460,17,which is
1462,17,face the nation
1463,17,dont want
1464,17,they were
1465,17,nominee
1466,17,lying
1467,17,in years
1468,17,time for
1469,17,hours
1471,17,our next president
1472,17,final
1475,17,listen
1476,17,the great state
1477,17,mittromney
1478,17,thehill
1479,17,weak on illegal
1480,17,question
1481,17,that crooked
1482,17,new book
1483,17,alabama
1484,17,of trump
1485,17,cleveland
1486,17,terrorists
1487,17,terrific
1488,17,son
1489,17,mention
1490,17,need a
1491,17,tpp
1492,17,middle
1493,17,great state of
1494,17,the white
1495,17,out the
1496,17,no longer
1497,17,tower
1498,17,is time
1499,17,careful
1500,17,seanhannity tonight at
1501,17,pushing
1502,17,again i
1503,17,all talk
1504,17,on a
1505,17,you are the
1506,17,the press
1507,17,great job on
1508,17,oann
1509,17,action
1510,17,rt donaldjtrumpjr
1511,17,turnberry
1512,17,nights
1513,17,a great honor
1514,17,like it
1515,17,going on
1516,17,continues
1518,17,expected
1520,17,on seanhannity tonight
1523,17,for years
1524,17,county
1525,16,and then
1526,16,poll realdonaldtrump
1527,16,deal with
1528,16,an amazing
1529,16,born
1530,16,drop
1531,16,last nights
1532,16,lindseygrahamsc
1533,16,country is
1535,16,some of
1536,16,you in
1537,16,credibility
1539,16,of realdonaldtrump
1540,16,of people
1541,16,i told
1542,16,we need to
1543,16,realbencarson
1544,16,amp i
1545,16,so far
1546,16,because of
1548,16,why is
1550,16,today in
1551,16,lets make
1552,16,great time
1553,16,west
1554,16,realdonaldtrumps
1555,16,on television
1556,16,other candidates
1558,16,husband
1559,16,a lot of
1560,16,easily
1561,16,i am the
1562,16,wednesday
1563,16,tomorrow night
1564,16,should not
1565,16,issues
1566,16,that she
1567,16,history of
1568,16,trump to
1569,16,it is time
1570,16,did a
1571,16,magazine
1572,16,kelly
1573,16,far more
1574,16,poor
1575,16,my wife
1576,16,great poll
1577,16,saturday night live
1578,16,night live
1579,16,dummy
1580,16,is very
1581,16,j trump
1582,16,of new
1583,16,said i
1585,16,written
1586,16,realdonaldtrump he
1587,16,university
1588,16,negative ads
1589,16,president trump
1590,16,allowed to
1591,16,piersmorgan
1592,16,morning enjoy
1593,16,build
1594,16,trump tower
1596,16,pick
1597,16,is just
1598,16,info
1599,16,pm on
1601,16,but i
1602,16,meet
1603,16,and is
1604,16,out amp vote
1605,16,wild
1607,16,who can
1608,16,no way
1609,16,tomorrow at pm
1611,16,be our
1613,16,special interest
1614,16,speaks
1615,16,you are a
1616,16,article
1617,16,going to win
1618,16,just announced
1619,16,has to
1620,16,put out
1621,16,success
1622,16,fired
1623,16,thats why
1624,16,donald j trump
1625,15,morning at
1626,15,the fact
1627,15,terrorist
1628,15,endorsement of
1629,15,rt foxandfriends
1630,15,came out
1631,15,very proud
1632,15,jobs and
1633,15,listen to
1634,15,network
1635,15,noon
1636,15,on tuesday
1637,15,fl
1638,15,realdonaldtrump cnn
1639,15,will be doing
1640,15,is weak
1642,15,ill be
1643,15,nafta
1644,15,it will be
1645,15,so badly
1646,15,tonight at pme
1647,15,will be the
1648,15,people in
1649,15,up to
1651,15,the country
1652,15,is right
1653,15,jaketapper
1654,15,legal
1655,15,barbarajwalters
1657,15,andersoncooper
1658,15,a true
1659,15,doubt
1660,15,putin
1661,15,caught
1662,15,that crooked hillary
1664,15,and now
1665,15,get a
1666,15,desperate
1667,15,louisiana
1668,15,lets make america
1669,15,common core
1670,15,club for
1671,15,in this
1672,15,does not
1673,15,foreign policy
1674,15,to be president
1675,15,in us
1676,15,reason
1678,15,tonights
1679,15,borntobegop
1680,15,its a
1681,15,we dont
1682,15,the gopdebate
1683,15,foxbusiness
1684,15,the white house
1685,15,arrived
1686,15,to be the
1687,15,that i am
1688,15,and will
1689,15,rncincle
1690,15,you believe
1692,15,democratic
1693,15,happening
1694,15,you and
1695,15,for donald
1696,15,vote in
1697,15,review
1698,15,marcorubio
1699,15,was amazing
1700,15,have no
1701,15,me and
1702,15,that was
1703,15,vote on
1704,15,why would
1705,15,of this
1707,15,big rally
1708,15,just like
1709,15,we need a
1710,15,going to make
1711,15,great to
1712,15,what i
1713,15,tried to
1714,15,the wall
1715,15,stamina
1716,15,jimmyfallon
1717,15,in the debate
1718,15,to use
1719,15,getting ready to
1720,15,bretbaier
1721,15,join the
1722,15,the man
1723,15,and make america
1724,15,john mccain
1725,15,she was
1726,15,on abc
1727,15,many of
1728,15,president of the
1729,15,credit
1730,15,the usa
1731,15,ap
1732,15,the dems
1733,15,so nice
1734,14,a fortune
1735,14,thank you so
